id,tanggal,nama_komoditas,harga
2,2024-02-01,Tepung Terigu,11179.400996
3,2024-02-01,Daging Ayam Ras,55877.093058
4,2024-02-01,Daging Sapi,162701.216085
5,2024-02-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,36354.215197
6,2024-02-01,Susu Bubuk,97335.928846
7,2024-02-01,Susu Kental Manis,11862.904685
8,2024-02-01,Telur Ayam Ras,27856.225831
9,2024-02-01,Minyak Goreng,16927.050132
10,2024-02-01,Tomat,19790.135185
11,2024-02-01,Cabai Merah,60508.14714
12,2024-02-01,Cabai Rawit,58613.054766
13,2024-02-01,Bawang Merah,30392.51621
14,2024-02-01,Bawang Putih,35873.03148
15,2024-02-01,Tahu Mentah,13911.157348
16,2024-02-01,Tempe,15217.577729
17,2024-02-01,Gula Pasir,17455.48652
18,2024-02-01,Susu Bubuk Untuk Balita,50205.044066
19,2024-02-01,Susu Bubuk Untuk Bayi,70076.374233
20,2024-02-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-02-01,Emas Perhiasan,852516.396919
1,2024-03-01,Beras,15868.468358
2,2024-03-01,Tepung Terigu,11701.912884
3,2024-03-01,Daging Ayam Ras,56379.326837
4,2024-03-01,Daging Sapi,162701.216085
5,2024-03-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,36702.501842
6,2024-03-01,Susu Bubuk,97453.020533
7,2024-03-01,Susu Kental Manis,11866.997767
8,2024-03-01,Telur Ayam Ras,28561.199952
9,2024-03-01,Minyak Goreng,16982.409982
10,2024-03-01,Tomat,18422.45228
11,2024-03-01,Cabai Merah,71675.611232
12,2024-03-01,Cabai Rawit,69290.692651
13,2024-03-01,Bawang Merah,34966.217111
14,2024-03-01,Bawang Putih,37615.113857
15,2024-03-01,Tahu Mentah,13911.157348
16,2024-03-01,Tempe,15217.577729
17,2024-03-01,Gula Pasir,17471.627033
18,2024-03-01,Susu Bubuk Untuk Balita,49660.094666
19,2024-03-01,Susu Bubuk Untuk Bayi,76414.08181
20,2024-03-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-03-01,Emas Perhiasan,885594.791146
1,2024-04-01,Beras,15956.681399
2,2024-04-01,Tepung Terigu,11693.321096
3,2024-04-01,Daging Ayam Ras,55409.494064
4,2024-04-01,Daging Sapi,162701.216085
5,2024-04-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,36320.809657
6,2024-04-01,Susu Bubuk,97611.355225
7,2024-04-01,Susu Kental Manis,11842.920539
8,2024-04-01,Telur Ayam Ras,28316.590577
9,2024-04-01,Minyak Goreng,17731.804179
10,2024-04-01,Tomat,17148.398775
11,2024-04-01,Cabai Merah,52143.203549
12,2024-04-01,Cabai Rawit,56474.440261
13,2024-04-01,Bawang Merah,42829.637276
14,2024-04-01,Bawang Putih,39231.495279
15,2024-04-01,Tahu Mentah,13911.157348
16,2024-04-01,Tempe,15217.577729
17,2024-04-01,Gula Pasir,17961.179025
18,2024-04-01,Susu Bubuk Untuk Balita,49531.2264
19,2024-04-01,Susu Bubuk Untuk Bayi,76413.80433
20,2024-04-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-04-01,Emas Perhiasan,965387.908131
1,2024-05-01,Beras,15958.710547
2,2024-05-01,Tepung Terigu,11697.763549
3,2024-05-01,Daging Ayam Ras,55421.400694
4,2024-05-01,Daging Sapi,162701.216085
5,2024-05-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,37250.401057
6,2024-05-01,Susu Bubuk,97685.487566
7,2024-05-01,Susu Kental Manis,11838.665372
8,2024-05-01,Telur Ayam Ras,27817.200763
9,2024-05-01,Minyak Goreng,17792.485636
10,2024-05-01,Tomat,14804.88331
11,2024-05-01,Cabai Merah,62365.974042
12,2024-05-01,Cabai Rawit,47585.726735
13,2024-05-01,Bawang Merah,45829.936116
14,2024-05-01,Bawang Putih,38703.919904
15,2024-05-01,Tahu Mentah,13911.157348
16,2024-05-01,Tempe,15217.577729
17,2024-05-01,Gula Pasir,18207.892785
18,2024-05-01,Susu Bubuk Untuk Balita,49345.59507
19,2024-05-01,Susu Bubuk Untuk Bayi,76338.953894
20,2024-05-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-05-01,Emas Perhiasan,1018745.919207
1,2024-06-01,Beras,16062.948475
2,2024-06-01,Tepung Terigu,11768.426246
3,2024-06-01,Daging Ayam Ras,52839.208714
4,2024-06-01,Daging Sapi,162701.216085
5,2024-06-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,37416.573868
6,2024-06-01,Susu Bubuk,100140.683989
7,2024-06-01,Susu Kental Manis,12226.713878
8,2024-06-01,Telur Ayam Ras,27732.3332
9,2024-06-01,Minyak Goreng,17726.20924
10,2024-06-01,Tomat,11237.364552
11,2024-06-01,Cabai Merah,66675.2969
12,2024-06-01,Cabai Rawit,51123.22228
13,2024-06-01,Bawang Merah,41328.232138
14,2024-06-01,Bawang Putih,38077.519479
15,2024-06-01,Tahu Mentah,13911.157348
16,2024-06-01,Tempe,15217.577729
17,2024-06-01,Gula Pasir,18036.534309
18,2024-06-01,Susu Bubuk Untuk Balita,49615.226882
19,2024-06-01,Susu Bubuk Untuk Bayi,76815.087739
20,2024-06-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-06-01,Emas Perhiasan,1016442.685771
1,2024-07-01,Beras,16057.424656
2,2024-07-01,Tepung Terigu,11783.467934
3,2024-07-01,Daging Ayam Ras,52436.439966
4,2024-07-01,Daging Sapi,162701.216085
5,2024-07-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,36592.692619
6,2024-07-01,Susu Bubuk,100140.683989
7,2024-07-01,Susu Kental Manis,12195.841561
8,2024-07-01,Telur Ayam Ras,27935.792913
9,2024-07-01,Minyak Goreng,17515.423713
10,2024-07-01,Tomat,7719.227087
11,2024-07-01,Cabai Merah,48066.657873
12,2024-07-01,Cabai Rawit,65730.82227
13,2024-07-01,Bawang Merah,31262.176766
14,2024-07-01,Bawang Putih,37399.816609
15,2024-07-01,Tahu Mentah,13364.571308
16,2024-07-01,Tempe,15292.028284
17,2024-07-01,Gula Pasir,18042.947318
18,2024-07-01,Susu Bubuk Untuk Balita,49586.519338
19,2024-07-01,Susu Bubuk Untuk Bayi,73463.906814
20,2024-07-01,Bahan Bakar Rumah Tangga,7148.908554
21,2024-07-01,Emas Perhiasan,1033261.655447
1,2024-08-01,Beras,16086.865547
2,2024-08-01,Tepung Terigu,11750.447121
3,2024-08-01,Daging Ayam Ras,51710.052918
4,2024-08-01,Daging Sapi,162701.216085
5,2024-08-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,37622.275093
6,2024-08-01,Susu Bubuk,100556.497492
7,2024-08-01,Susu Kental Manis,12187.914994
8,2024-08-01,Telur Ayam Ras,27565.121391
9,2024-08-01,Minyak Goreng,17456.18793
10,2024-08-01,Tomat,7604.514456
11,2024-08-01,Cabai Merah,45268.442969
12,2024-08-01,Cabai Rawit,65743.712836
13,2024-08-01,Bawang Merah,23757.011777
14,2024-08-01,Bawang Putih,36575.473366
15,2024-08-01,Tahu Mentah,13364.571308
16,2024-08-01,Tempe,15292.028284
17,2024-08-01,Gula Pasir,18274.692206
18,2024-08-01,Susu Bubuk Untuk Balita,49650.850895
19,2024-08-01,Susu Bubuk Untuk Bayi,73817.73899
20,2024-08-01,Bahan Bakar Rumah Tangga,10581.571624
21,2024-08-01,Emas Perhiasan,1085636.858653
1,2024-09-01,Beras,16208.25644
2,2024-09-01,Tepung Terigu,11772.58594
3,2024-09-01,Daging Ayam Ras,52076.464707
4,2024-09-01,Daging Sapi,162701.216085
5,2024-09-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,35903.062703
6,2024-09-01,Susu Bubuk,101548.785647
7,2024-09-01,Susu Kental Manis,12206.170397
8,2024-09-01,Telur Ayam Ras,27460.199876
9,2024-09-01,Minyak Goreng,17589.247495
10,2024-09-01,Tomat,7383.210557
11,2024-09-01,Cabai Merah,33493.368765
12,2024-09-01,Cabai Rawit,60936.892688
13,2024-09-01,Bawang Merah,23198.145498
14,2024-09-01,Bawang Putih,37776.241569
15,2024-09-01,Tahu Mentah,13364.571308
16,2024-09-01,Tempe,15292.028284
17,2024-09-01,Gula Pasir,18132.27343
18,2024-09-01,Susu Bubuk Untuk Balita,49723.212097
19,2024-09-01,Susu Bubuk Untuk Bayi,74057.564755
20,2024-09-01,Bahan Bakar Rumah Tangga,10581.571624
21,2024-09-01,Emas Perhiasan,1090927.782897
1,2024-10-01,Beras,16169.209288
2,2024-10-01,Tepung Terigu,11789.136922
3,2024-10-01,Daging Ayam Ras,40620.290915
4,2024-10-01,Daging Sapi,162713.866134
5,2024-10-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,37969.605037
6,2024-10-01,Susu Bubuk,100872.660059
7,2024-10-01,Susu Kental Manis,12207.544759
8,2024-10-01,Telur Ayam Ras,27427.26623
9,2024-10-01,Minyak Goreng,17478.382658
10,2024-10-01,Tomat,8756.259542
11,2024-10-01,Cabai Merah,34635.377499
12,2024-10-01,Cabai Rawit,42166.66785
13,2024-10-01,Bawang Merah,27337.105429
14,2024-10-01,Bawang Putih,38218.347253
15,2024-10-01,Tahu Mentah,13364.571308
16,2024-10-01,Tempe,15292.028284
17,2024-10-01,Gula Pasir,18176.342038
18,2024-10-01,Susu Bubuk Untuk Balita,48650.112614
19,2024-10-01,Susu Bubuk Untuk Bayi,74051.665999
20,2024-10-01,Bahan Bakar Rumah Tangga,8626.896409
21,2024-10-01,Emas Perhiasan,1206073.539371
1,2024-11-01,Beras,16169.209288
2,2024-11-01,Tepung Terigu,11829.543633
3,2024-11-01,Daging Ayam Ras,41270.808648
4,2024-11-01,Daging Sapi,162029.918234
5,2024-11-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,37922.865137
6,2024-11-01,Susu Bubuk,100981.543993
7,2024-11-01,Susu Kental Manis,12219.035636
8,2024-11-01,Telur Ayam Ras,27289.677819
9,2024-11-01,Minyak Goreng,17900.992702
10,2024-11-01,Tomat,16406.802425
11,2024-11-01,Cabai Merah,32763.442933
12,2024-11-01,Cabai Rawit,35004.920577
13,2024-11-01,Bawang Merah,29463.136246
14,2024-11-01,Bawang Putih,38715.624163
15,2024-11-01,Tahu Mentah,13364.571308
16,2024-11-01,Tempe,15292.028284
17,2024-11-01,Gula Pasir,18164.546585
18,2024-11-01,Susu Bubuk Untuk Balita,48685.530197
19,2024-11-01,Susu Bubuk Untuk Bayi,73505.112119
20,2024-11-01,Bahan Bakar Rumah Tangga,8626.896409
21,2024-11-01,Emas Perhiasan,1239311.67995
1,2024-12-01,Beras,16092.19992
2,2024-12-01,Tepung Terigu,11717.047536
3,2024-12-01,Daging Ayam Ras,44650.416604
4,2024-12-01,Daging Sapi,161298.675372
5,2024-12-01,Ikan Kembung/Ikan Gembung/ Ikan Banyar/Ikan Gembolo/ Ikan Aso-Aso,39531.414378
6,2024-12-01,Susu Bubuk,101221.297587
7,2024-12-01,Susu Kental Manis,12441.085069
8,2024-12-01,Telur Ayam Ras,27619.62184
9,2024-12-01,Minyak Goreng,18226.316307
10,2024-12-01,Tomat,15281.243365
11,2024-12-01,Cabai Merah,34245.194217
12,2024-12-01,Cabai Rawit,41120.316123
13,2024-12-01,Bawang Merah,29570.287902
14,2024-12-01,Bawang Putih,39659.502216
15,2024-12-01,Tahu Mentah,13385.59794
16,2024-12-01,Tempe,15292.028284
17,2024-12-01,Gula Pasir,18161.853133
18,2024-12-01,Susu Bubuk Untuk Balita,48439.399655
19,2024-12-01,Susu Bubuk Untuk Bayi,73899.59226
20,2024-12-01,Bahan Bakar Rumah Tangga,8606.422765
21,2024-12-01,Emas Perhiasan,1232652.053618
1,2025-01-01,Beras,16249.582752
